date,hs300,nasdaq100,gold,dividend,price_hs300,price_nasdaq100,price_gold,price_dividend,erp_pct,cn_10y_rate,w_hs300,w_nasdaq100,w_gold,w_dividend,w_cash,requested_cash_floor,hs300_trend_filter_passed,nasdaq_trend_filter_passed,gold_crisis_hedge_active,cash_floor_buffer,target_cash_pct,cash_rf_daily,strategy_return,benchmark_return,strategy_nav,benchmark_nav,strategy_drawdown,benchmark_drawdown,high_cash_defense_mode
2025-06-04,0.004296183977761103,0.008322663252240625,-0.0005349023803155051,0.004277159965782706,3.974,1.575,7.474,1.174,6.8041762711864395,1.6704,0.25,0.0,0.2,0.15,0.4,0.1,False,False,True,0.30000000000000004,0.4,6.705599999999999e-05,0.0016354619132445808,0.004296183977761103,1.0565428365873282,0.9880656389855792,0.0,-0.03285470917498179,True
2025-06-05,0.0025163563160544022,-0.0025396825396825085,0.0012041744715012292,-0.0076660988074956915,3.984,1.571,7.483,1.165,6.778985376162299,1.6741,0.25,0.0,0.2,0.15,0.4,0.1,False,False,True,0.30000000000000004,0.4,6.6816e-05,-0.0002532644478105074,0.0025163563160544022,1.0562752518492318,0.9905519641969169,-0.0002532644478104862,-0.03042102701387195,True
2025-06-06,0.0005020080321285203,-0.0025461489497136114,-0.0002672724842976981,0.0025751072961373023,3.986,1.567,7.481,1.168,6.798385376162299,1.6547,0.25,0.0,0.2,0.15,0.4,0.1,False,False,True,0.30000000000000004,0.4,6.696399999999999e-05,0.0004850992055931857,0.0005020080321285203,1.0567876501347915,0.9910492292391845,0.0,-0.02993429058164998,True
2025-06-09,0.002257902659307476,0.002552648372686761,-0.010827429488036278,0.0008561643835618415,3.995,1.571,7.4,1.169,6.797185376162299,1.6559,0.25,0.0,0.2,0.15,0.4,0.1,False,False,True,0.30000000000000004,0.4,6.6188e-05,-0.0014461103752461102,0.002257902659307476,1.0552594185494997,0.9932869219293883,-0.0014461103752460014,-0.02774397663665129,True
2025-06-10,-0.005757196495619565,0.0,0.0006756756756756133,0.0,3.972,1.571,7.405,1.169,6.824864206955047,1.6569,0.25,0.0,0.2,0.15,0.4,0.1,False,False,True,0.30000000000000004,0.4,6.623600000000001e-05,-0.0012776695887697686,-0.005757196495619565,1.0539111456821562,0.9875683739433117,-0.0027219323127672945,-0.03334144560720387,True
2025-06-11,0.008056394763343189,0.003819223424570417,0.003106009453072156,0.0034217279726260763,4.004,1.577,7.428,1.173,6.6498739635157555,1.642,0.25,0.0,0.2,0.15,0.4,0.1,False,False,True,0.30000000000000004,0.4,6.6276e-05,0.00317507017734414,0.008056394763343189,1.0572573875303821,0.9955246146195919,0.0,-0.025553662691652823,True
2025-06-12,0.0004995004995007601,-0.0038046924540265925,0.009289176090468532,0.002557544757033181,4.006,1.571,7.497,1.176,6.658147840531561,1.6475,0.25,0.0,0.2,0.15,0.4,0.1,False,False,True,0.30000000000000004,0.4,6.568000000000001e-05,0.0023926140565238736,0.0004995004995007601,1.059786996417151,0.9960218796618596,0.0,-0.025066926259430633,True
2025-06-13,-0.00649026460309543,-0.010821133036282515,0.012138188608776801,-0.00595238095238082,3.98,1.554,7.588,1.169,6.696283569641366,1.644,0.25,0.0,0.2,0.15,0.4,0.1,False,False,True,0.30000000000000004,0.4,6.59e-05,-6.142557187562037e-05,-0.00649026460309543,1.0597218983948296,0.9895574341123817,-6.142557187571729e-05,-0.031394499878315996,True
2025-06-16,0.002512562814070307,0.008365508365508312,-0.0032946758039009705,0.0051325919589393365,3.99,1.567,7.563,1.175,6.641804142502071,1.6432,0.25,0.0,0.2,0.15,0.4,0.1,False,False,True,0.30000000000000004,0.4,6.576e-05,0.0007653983365782832,0.002512562814070307,1.0605330077730966,0.9920437593237194,0.0,-0.028960817717206266,True
2025-06-17,-0.00025062656641616776,0.0038289725590299195,-0.008462250429723706,-0.002553191489361839,3.989,1.573,7.499,1.172,6.648604142502071,1.6364,0.25,0.0,0.2,0.15,0.4,0.1,False,False,True,0.30000000000000004,0.4,6.572799999999999e-05,-0.002111794250953059,-0.00025062656641616776,1.0582933802643353,0.9917951268025854,-0.002111794250953203,-0.029204185933317417,True
