date,A_absolute_return_strategy_nav,A_absolute_return_benchmark_nav,A_absolute_return_strategy_drawdown,A_absolute_return_benchmark_drawdown,A_absolute_return_w_cash,A_absolute_return_turnover,A_absolute_return_trading_cost,B_offensive_growth_strategy_nav,B_offensive_growth_benchmark_nav,B_offensive_growth_strategy_drawdown,B_offensive_growth_benchmark_drawdown,B_offensive_growth_w_cash,B_offensive_growth_turnover,B_offensive_growth_trading_cost
2025-05-20,506126.493357889,372163.5250407873,-0.00465832581290071,-0.21093058363565909,0.4,0.0,0.0,514182.1797966527,372163.5250407873,-0.005972227701245836,-0.21093058363565909,0.25,0.0,0.0
2025-05-21,508706.2098026758,373651.0634871157,0.0,-0.20777667140437506,0.4,0.0,0.0,516777.2847491125,373651.0634871157,-0.0009553163882258797,-0.20777667140437506,0.25,0.0,0.0
2025-05-22,508438.5119253902,373465.1211813247,-0.0005262327687909352,-0.2081709104332855,0.44999999999999996,0.07619047619047617,7.619047619047617e-05,515975.3052614308,373465.1211813247,-0.0025057199511903105,-0.2081709104332855,0.3700000000000001,0.1363636363636364,0.00013636363636363642
2025-05-23,506987.43799620186,370768.9577473545,-0.0033787120608193,-0.21388737635248745,0.44999999999999996,0.0,0.0,514324.09897722123,370768.9577473545,-0.005697866565348875,-0.21388737635248745,0.3700000000000001,0.0,0.0
2025-05-26,505615.524933016,368816.5635365485,-0.006075579204859127,-0.21802688615604748,0.4,0.07999999999999996,7.999999999999997e-05,512515.13180881634,368816.5635365485,-0.009194999829053696,-0.21802688615604748,0.29000000000000004,0.14000000000000004,0.00014000000000000004
2025-05-27,504793.92462130875,366864.16932574246,-0.007690657408889523,-0.22216639595960774,0.4,0.0,0.0,511682.2917562264,366864.16932574246,-0.010805063683239635,-0.22216639595960774,0.29000000000000004,0.0,0.0
2025-05-28,505552.4228184975,366492.2847141603,-0.006199623522192943,-0.22295487401742875,0.4,0.0,0.0,512777.84698794904,366492.2847141603,-0.00868711333566019,-0.22295487401742875,0.29000000000000004,0.0,0.0
2025-05-29,506114.3716550331,368723.5923836529,-0.005094960701675144,-0.21822400567050293,0.4,0.028571428571428588,2.8571428571428588e-05,513896.8632433664,368723.5923836529,-0.006523807645100188,-0.21822400567050293,0.25,0.05844155844155846,5.844155844155846e-05
2025-05-30,505690.6792511439,368072.7943133843,-0.005927843013163958,-0.2196038422716896,0.4,0.028571428571428588,2.8571428571428588e-05,512357.80636836163,368072.7943133843,-0.009499144669629311,-0.2196038422716896,0.29000000000000004,0.05844155844155846,5.844155844155846e-05
2025-06-03,507348.409413635,367886.8520075932,-0.0026691248561080405,-0.21999808130060017,0.4,0.0,0.0,514139.2236366483,367886.8520075932,-0.006055271450549959,-0.21999808130060017,0.29000000000000004,0.0,0.0
2025-06-04,508537.66816077253,369467.36160681717,-0.00033131430019039954,-0.21664704955486092,0.4,0.0,0.0,515707.79042737815,369467.36160681717,-0.0030228852381231075,-0.21664704955486092,0.29000000000000004,0.0,0.0
2025-06-05,508242.03261624154,370397.0731357724,-0.0009124661297418291,-0.21467585441030845,0.4,0.028571428571428588,2.8571428571428588e-05,515375.0931685165,370397.0731357724,-0.0036660625555612336,-0.21467585441030845,0.25,0.05844155844155846,5.844155844155846e-05
2025-06-06,508395.0259561283,370583.0154415635,-0.0006117162333603154,-0.2142816153813979,0.4,0.0,0.0,515470.1784888491,370583.0154415635,-0.0034822416203708073,-0.2142816153813979,0.25,0.0,0.0
2025-06-09,508695.62906188244,371419.75581762317,-2.079931518328415e-05,-0.21250753975130088,0.4,0.0,0.0,516409.72772480594,371419.75581762317,-0.0016658853352258252,-0.21250753975130088,0.25,0.0,0.0
2025-06-10,507926.01880012074,369281.4193010261,-0.001533676978029641,-0.21704128858377147,0.4,0.0,0.0,515330.60478230217,369281.4193010261,-0.0037520684367049473,-0.21704128858377147,0.25,0.0,0.0
2025-06-11,509668.7718057704,372256.49619368283,0.0,-0.21073346412120375,0.4,0.0,0.0,517636.05930315476,372256.49619368283,0.0,-0.21073346412120375,0.25,0.0,0.0
2025-06-12,510087.511325537,372442.43849947397,0.0,-0.21033922509229308,0.4,0.0,0.0,517719.1951884518,372442.43849947397,0.0,-0.21033922509229308,0.25,0.0,0.0
2025-06-13,508957.5005299493,370025.1885241903,-0.002215327312466764,-0.21546433246812946,0.4,0.0,0.0,515833.27917161305,370025.1885241903,-0.0036427392191866748,-0.21546433246812946,0.25,0.0,0.0
2025-06-16,509971.2722585663,370954.90005314554,-0.00022788063692957827,-0.2134931373235771,0.4,0.0,0.0,517390.92522887344,370954.90005314554,-0.0006340695161184406,-0.2134931373235771,0.25,0.0,0.0
2025-06-17,509389.6515629571,370861.92890025,-0.0013681177191858795,-0.21369025683803233,0.4,0.0,0.0,516856.03522549215,370861.92890025,-0.001667235773719855,-0.21369025683803233,0.25,0.0,0.0
2025-06-18,506959.5067694008,362959.38090413035,-0.006132290022172082,-0.23044541556672804,0.4,0.0,0.0,513487.44041497813,362959.38090413035,-0.008173841752058819,-0.23044541556672804,0.25,0.0,0.0
2025-06-19,505018.5820777529,360077.2751643691,-0.009937371794521588,-0.23655612051484065,0.4,0.028571428571428588,2.8571428571428588e-05,510730.07086789125,360077.2751643691,-0.013499836176668056,-0.23655612051484065,0.29000000000000004,0.05844155844155846,5.844155844155846e-05
2025-06-20,505358.969566024,360542.1309288467,-0.009270059851544277,-0.23557052294256442,0.4,0.0,0.0,511162.55244499585,360542.1309288467,-0.012664476813669778,-0.23557052294256442,0.29000000000000004,0.0,0.0
2025-06-23,506459.50472803466,361750.75591648853,-0.007112517983579814,-0.23300796925464617,0.4,0.0,0.0,512298.81088130566,361750.75591648853,-0.01046973795355044,-0.23300796925464617,0.29000000000000004,0.0,0.0
2025-06-24,508172.9958692765,365934.45779678714,-0.003753307841796283,-0.22413759110416032,0.4,0.028571428571428588,2.8571428571428588e-05,515019.0872043962,365934.45779678714,-0.005215390909106166,-0.22413759110416032,0.25,0.05844155844155846,5.844155844155846e-05
2025-06-25,511125.75748479913,371977.5827349963,0.0,-0.21132482266456942,0.4,0.0,0.0,518668.95480320754,371977.5827349963,0.0,-0.21132482266456942,0.25,0.0,0.0
2025-06-26,511290.7890483677,370583.01544156345,0.0,-0.214281615381398,0.4,0.0,0.0,518898.02269571065,370583.01544156345,0.0,-0.214281615381398,0.25,0.0,0.0
2025-06-27,509267.5672295586,368444.6789249663,-0.003957086382437636,-0.2188153642138687,0.4,0.0,0.0,516939.59175001486,368444.6789249663,-0.003774211617769474,-0.2188153642138687,0.25,0.0,0.0
2025-06-30,509802.65395483386,370211.1308299813,-0.0029105454770730343,-0.21507009343921912,0.4,0.0,0.0,517712.35196128394,370211.1308299813,-0.002284978324386455,-0.21507009343921912,0.25,0.0,0.0
2025-07-01,511157.27972873097,370768.9577473544,-0.0002611220903964151,-0.21388737635248767,0.4,0.0,0.0,519009.9201114538,370768.9577473544,0.0,-0.21388737635248767,0.25,0.0,0.0
2025-07-02,511304.50015308056,371140.84235893644,0.0,-0.21309889829466688,0.4,0.028571428571428588,2.8571428571428588e-05,519023.2063699522,371140.84235893644,0.0,-0.21309889829466688,0.29000000000000004,0.05844155844155846,5.844155844155846e-05
2025-07-03,512617.11431766866,373279.1788755335,0.0,-0.2085651494621963,0.4,0.0,0.0,520558.97239319666,373279.1788755335,0.0,-0.2085651494621963,0.29000000000000004,0.0,0.0
2025-07-04,513751.666312353,374859.6884747575,0.0,-0.20521411771645703,0.4,0.0,0.0,522009.6374746264,374859.6884747575,0.0,-0.20521411771645703,0.29000000000000004,0.0,0.0
2025-07-07,513179.30960864696,373186.20772263804,-0.0011140726954996794,-0.2087622689766514,0.4,0.0,0.0,521288.6417735081,373186.20772263804,-0.001381192317839841,-0.2087622689766514,0.29000000000000004,0.0,0.0
2025-07-08,514460.3599965643,376347.2269210859,0.0,-0.20206020548517312,0.4,0.028571428571428588,2.8571428571428588e-05,522810.5063655079,376347.2269210859,0.0,-0.20206020548517312,0.25,0.05844155844155846,5.844155844155846e-05
2025-07-09,513785.7402264309,376068.3134623993,-0.0013113153560323498,-0.2026515640285389,0.4,0.028571428571428588,2.8571428571428588e-05,521692.39571829425,376068.3134623993,-0.0021386537447125598,-0.2026515640285389,0.29000000000000004,0.05844155844155846,5.844155844155846e-05
2025-07-10,515582.8921916934,377927.7365203099,0.0,-0.19870917373943386,0.4,0.0,0.0,523815.2317590589,377927.7365203099,0.0,-0.19870917373943386,0.29000000000000004,0.0,0.0
2025-07-11,515239.8591042752,379229.33266084717,-0.000665330624063265,-0.19594950053706062,0.4,0.0,0.0,523438.0397086032,379229.33266084717,-0.0007200860677324394,-0.19594950053706062,0.29000000000000004,0.0,0.0
2025-07-14,515998.5581162562,379136.3615079517,0.0,-0.19614662005151573,0.4,0.028571428571428588,2.8571428571428588e-05,523990.6012481474,379136.3615079517,0.0,-0.19614662005151573,0.25,0.05844155844155846,5.844155844155846e-05
2025-07-15,516498.50177353673,379136.3615079517,0.0,-0.19614662005151573,0.4,0.0,0.0,525571.1580105242,379136.3615079517,0.0,-0.19614662005151573,0.25,0.0,0.0
2025-07-16,515351.1175143554,378299.62113189197,-0.002221466771426206,-0.19792069568161297,0.4,0.0,0.0,524111.08678359364,378299.62113189197,-0.0027780657379630203,-0.19792069568161297,0.25,0.0,0.0
2025-07-17,516501.1408679328,381367.6691774443,0.0,-0.1914157517045899,0.4,0.0,0.0,525748.7129163409,381367.6691774443,0.0,-0.1914157517045899,0.25,0.0,0.0
2025-07-18,518371.2179879092,384156.80376431,0.0,-0.18550216627093263,0.4,0.0,0.0,528431.1773392173,384156.80376431,0.0,-0.18550216627093263,0.25,0.0,0.0
2025-07-21,519608.7594966126,386481.0825866981,0.0,-0.1805741784095516,0.4,0.0,0.0,530010.0525837947,386481.0825866981,0.0,-0.1805741784095516,0.25,0.0,0.0
2025-07-22,521187.3389625347,390571.81331410125,0.0,-0.17190091977352084,0.4,0.0,0.0,531887.547263112,390571.81331410125,0.0,-0.17190091977352084,0.25,0.0,0.0
2025-07-23,522346.491530428,390385.8710083102,0.0,-0.1722951588024314,0.4,0.0,0.0,533547.2330222637,390385.8710083102,0.0,-0.1722951588024314,0.25,0.0,0.0
2025-07-24,521614.71680103644,392803.1209835938,-0.0014009373878390852,-0.16717005142659513,0.4,0.0,0.0,532936.2882269102,392803.1209835938,-0.001145062250426987,-0.16717005142659513,0.25,0.0,0.0
2025-07-25,520105.97105252463,390757.75561989227,-0.004289337660407844,-0.1715066807446104,0.4,0.0,0.0,530990.0256138755,390757.75561989227,-0.004792841664463365,-0.1715066807446104,0.25,0.0,0.0
2025-07-28,520561.9955112323,391780.43830174307,-0.003416307083765946,-0.1693383660856027,0.4,0.0,0.0,531844.2571844188,391780.43830174307,-0.003191799586699018,-0.1693383660856027,0.25,0.0,0.0
2025-07-29,520408.1543540895,393732.83251254907,-0.003710826449047855,-0.16519885628204267,0.4,0.0,0.0,531721.5621124643,393732.83251254907,-0.0034217606180018123,-0.16519885628204267,0.25,0.0,0.0
2025-07-30,520486.50890430005,393453.9190538625,-0.0035608215165346957,-0.16579021482540834,0.4,0.0,0.0,531511.1903196146,393453.9190538625,-0.003816049595302018,-0.16579021482540834,0.25,0.0,0.0
2025-07-31,517802.9180101425,386295.14028090704,-0.008698390041777082,-0.18096841743846215,0.4,0.0,0.0,528758.9056979588,386295.14028090704,-0.008974514397125821,-0.18096841743846215,0.25,0.0,0.0
2025-08-01,516287.7461609984,384249.77491720545,-0.011599092685925738,-0.18530504675647763,0.4,0.0,0.0,526236.2217591901,384249.77491720545,-0.01370265050698627,-0.18530504675647763,0.25,0.0,0.0
2025-08-04,517688.7157118483,386016.22682222043,-0.008917023267319801,-0.18155977598182793,0.4,0.0,0.0,527629.4583231704,386016.22682222043,-0.011091379230986242,-0.18155977598182793,0.25,0.0,0.0
2025-08-05,520396.94225616637,388898.33256198163,-0.0037322913159608673,-0.17544907103371554,0.4,0.0,0.0,531375.3159382117,388898.33256198163,-0.004070711925070358,-0.17544907103371554,0.25,0.0,0.0
2025-08-06,520735.7262962715,389921.01524383243,-0.003083710257988148,-0.17328075637470786,0.4,0.0,0.0,531672.5720538646,389921.01524383243,-0.0035135801525577603,-0.17328075637470786,0.25,0.0,0.0
2025-08-07,521562.95690235985,389828.0440909369,-0.0015000285074615594,-0.17347787588916308,0.4,0.0,0.0,532860.9641424053,389828.0440909369,-0.0012862382885411305,-0.17347787588916308,0.25,0.0,0.0
2025-08-08,521495.7911280504,388898.33256198163,-0.0016286132216282168,-0.17544907103371554,0.4,0.0,0.0,532640.2756780351,388898.33256198163,-0.0016998632700073735,-0.17544907103371554,0.25,0.0,0.0
2025-08-11,521421.49920817226,390664.7844669966,-0.0017708405000397276,-0.17170380025906595,0.4,0.0,0.0,532995.3971799687,390664.7844669966,-0.0010342773950288153,-0.17170380025906595,0.25,0.0,0.0
